

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000 -0.510000E+00  0.146450E-01 -0.510000E+00  0.146450E-01 -0.806104E-02   -265.409   -400.454   -500.000       1
     2.00000 -0.530000E+00  0.330700E-01 -0.530001E+00  0.330700E-01 -0.161221E-01   -363.031   -400.065   -499.999       2
     3.00000 -0.496056E+00  0.643960E-01 -0.496138E+00  0.643960E-01 -0.241835E-01   -424.806   -422.427   -499.980       3
     4.00000 -0.496056E+00  0.918790E-01 -0.496105E+00  0.918790E-01 -0.322484E-01   -437.418   -436.521   -499.832       4
     5.00000 -0.462478E+00  0.114391E+00 -0.462465E+00  0.114391E+00 -0.403237E-01   -479.421   -454.924   -499.470       5
     6.00000 -0.425347E+00  0.142181E+00 -0.425466E+00  0.142181E+00 -0.484267E-01   -512.666   -472.447   -498.743       6
     7.00000 -0.363988E+00  0.162007E+00 -0.363908E+00  0.162007E+00 -0.565656E-01   -576.741   -498.256   -497.802       7
     8.00000 -0.318183E+00  0.179222E+00 -0.318038E+00  0.179222E+00 -0.647442E-01   -600.826   -517.168   -496.682       8
     9.00000 -0.277535E+00  0.202088E+00 -0.277532E+00  0.202088E+00 -0.729645E-01   -622.977   -533.452   -495.487       9
    10.00000 -0.219581E+00  0.223838E+00 -0.219550E+00  0.223838E+00 -0.812263E-01   -689.008   -558.105   -494.321      10
    11.00000 -0.169124E+00  0.267209E+00 -0.169633E+00  0.267209E+00 -0.895274E-01   -726.413   -579.050   -493.250      11
    12.00000 -0.169124E+00  0.336740E+00 -0.170287E+00  0.336740E+00 -0.978587E-01   -669.490   -587.839   -492.358      12
    13.00000 -0.122451E+00  0.367016E+00 -0.122633E+00  0.367016E+00 -0.106212E+00   -795.557   -626.569   -491.716      13
    14.00000 -0.721331E-01  0.399647E+00 -0.723738E-01  0.399647E+00 -0.114578E+00   -877.293   -652.169   -491.373      14
    15.00000 -0.121308E-02  0.417441E+00 -0.108284E-02  0.417441E+00 -0.122945E+00  -1081.694   -693.081   -491.348      15
    16.00000  0.511129E-01  0.436466E+00  0.512124E-01  0.436466E+00 -0.131300E+00  -1120.632   -717.322   -491.662      16
    17.00000  0.101479E+00  0.463071E+00  0.101389E+00  0.463071E+00 -0.139636E+00  -1193.084   -742.298   -492.315      17
    18.00000  0.101479E+00  0.502830E+00  0.101060E+00  0.502830E+00 -0.147936E+00   -961.050   -737.466   -493.234      18
    19.00000 -0.268521E+00  0.536019E+00 -0.268938E+00  0.536019E+00 -0.156215E+00   -378.453   -592.616   -494.332      19
    20.00000 -0.268521E+00  0.536019E+00 -0.268731E+00  0.536019E+00 -0.164446E+00   -533.346   -580.126   -495.720      20
    21.00000 -0.217245E+00  0.580189E+00 -0.217823E+00  0.580189E+00 -0.172614E+00   -657.209   -604.123   -497.381      21
    22.00000 -0.347245E+00  0.594202E+00 -0.347816E+00  0.594202E+00 -0.180731E+00   -465.786   -564.952   -499.193      22
    23.00000 -0.222724E+01  0.594202E+00 -0.222781E+01  0.594202E+00 -0.188783E+00   -132.582   -257.887   -501.172      23
    24.00000 -0.317724E+01  0.613531E+00 -0.317782E+01  0.613531E+00 -0.196761E+00   -146.196   -194.390   -503.270      24
    25.00000 -0.315876E+01  0.642187E+00 -0.315939E+01  0.642187E+00 -0.204661E+00   -225.282   -230.512   -505.280      25
    26.00000 -0.313475E+01  0.665492E+00 -0.313533E+01  0.665492E+00 -0.212529E+00   -259.188   -257.355   -505.322      26
    27.00000 -0.308900E+01  0.691639E+00 -0.308962E+01  0.691639E+00 -0.220482E+00   -291.842   -281.611   -501.520      27
