 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  12. 9.2023    Time:  13:49:36
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       14  0.1000000E+01  0.20873E+00    3       31    -4    -5     T
       27  0.2000000E+01  0.21151E+00    2       57    -4    -5     T
       30  0.3000000E+01  0.37500E+00    2       63    -4    -5     T
       32  0.4000000E+01  0.66667E+00    2       67    -4    -5     T
       34  0.5000000E+01  0.50000E+00    2       71    -4    -5     T
       35  0.6000000E+01  0.10000E+01    2       73    -4    -5     T
       36  0.7000000E+01  0.10000E+01    3       76    -4    -5     T
       37  0.8000000E+01  0.10000E+01    3       79    -4    -5     T
       38  0.9000000E+01  0.10000E+01    2       81    -4    -5     T
       39  0.1000000E+02  0.10000E+01    3       84    -4    -5     T
       40  0.1100000E+02  0.10000E+01    2       86    -4    -5     T
       41  0.1200000E+02  0.10000E+01    3       89    -4    -5     T
       42  0.1300000E+02  0.10000E+01    3       92    -4    -5     T
       43  0.1400000E+02  0.10000E+01    3       95    -4    -5     T
       44  0.1500000E+02  0.10000E+01    4       99    -4    -5     T
       45  0.1600000E+02  0.10000E+01    4      103    -4    -5     T
       46  0.1700000E+02  0.10000E+01    2      105    -4    -5     T
       47  0.1800000E+02  0.10000E+01    4      109    -4    -5     T
       62  0.1900000E+02  0.13915E+00    2      149    -4    -5     T
       66  0.2000000E+02  0.25000E+00    2      159    -4    -5     T
       68  0.2100000E+02  0.66667E+00    2      163    -4    -5     T
       81  0.2200000E+02  0.21151E+00    2      189    -4    -5     T
      102  0.2300000E+02  0.12188E+00    4      264    -4    -5     T
      115  0.2400000E+02  0.21151E+00    3      294    -4    -5     T
      119  0.2500000E+02  0.25000E+00    2      306    -4    -5     T
      121  0.2600000E+02  0.66667E+00    3      311    -4    -5     T
      123  0.2700000E+02  0.50000E+00    2      315    -4    -5     T
      124  0.2800000E+02  0.10000E+01    3      318    -4    -5     T
      125  0.2900000E+02  0.10000E+01    2      320    -4    -5     T
      126  0.3000000E+02  0.10000E+01    3      323    -4    -5     T
