 ******* Program HYDRUS
 ******* 
 None                                                                    
 Date:  12. 9.2023    Time:  13:49:36
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.80610E-02 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.80610E-02 -0.26541E+03 -0.40045E+03 -0.50000E+03  0.00000E+00  0.00000E+00  0.12995E+02  0.51000E+00  0.00000E+00     14  0.00000E+00      0.000
       2.0000 -0.20000E-01  0.18425E-01 -0.20000E-01  0.18425E-01 -0.80610E-02 -0.53000E+00  0.33070E-01 -0.53000E+00  0.33070E-01 -0.16122E-01 -0.36303E+03 -0.40007E+03 -0.50000E+03  0.00000E+00  0.00000E+00  0.12988E+02  0.53000E+00  0.00000E+00     27  0.00000E+00      0.000
       3.0000  0.33944E-01  0.31326E-01  0.33944E-01  0.31326E-01 -0.80617E-02 -0.49606E+00  0.64396E-01 -0.49614E+00  0.64396E-01 -0.24183E-01 -0.42481E+03 -0.42243E+03 -0.49998E+03  0.00000E+00  0.00000E+00  0.12918E+02  0.53000E+00  0.33863E-01     30  0.00000E+00      0.000
       4.0000  0.00000E+00  0.27483E-01  0.19197E-06  0.27483E-01 -0.80662E-02 -0.49606E+00  0.91879E-01 -0.49611E+00  0.91879E-01 -0.32248E-01 -0.43742E+03 -0.43652E+03 -0.49983E+03  0.00000E+00  0.00000E+00  0.12882E+02  0.53000E+00  0.33895E-01     32  0.00000E+00      0.000
       5.0000  0.33578E-01  0.22512E-01  0.33578E-01  0.22512E-01 -0.80791E-02 -0.46248E+00  0.11439E+00 -0.46247E+00  0.11439E+00 -0.40324E-01 -0.47942E+03 -0.45492E+03 -0.49947E+03  0.00000E+00  0.00000E+00  0.12815E+02  0.53000E+00  0.67536E-01     34  0.00000E+00      0.000
       6.0000  0.37131E-01  0.27790E-01  0.36999E-01  0.27790E-01 -0.81030E-02 -0.42535E+00  0.14218E+00 -0.42547E+00  0.14218E+00 -0.48427E-01 -0.51267E+03 -0.47245E+03 -0.49874E+03  0.00000E+00  0.00000E+00  0.12747E+02  0.53000E+00  0.10453E+00     35  0.00000E+00      0.000
       7.0000  0.61359E-01  0.19826E-01  0.61558E-01  0.19826E-01 -0.81389E-02 -0.36399E+00  0.16201E+00 -0.36391E+00  0.16201E+00 -0.56566E-01 -0.57674E+03 -0.49826E+03 -0.49780E+03  0.00000E+00  0.00000E+00  0.12650E+02  0.53000E+00  0.16609E+00     36  0.00000E+00      0.000
       8.0000  0.45805E-01  0.17215E-01  0.45870E-01  0.17215E-01 -0.81786E-02 -0.31818E+00  0.17922E+00 -0.31804E+00  0.17922E+00 -0.64744E-01 -0.60083E+03 -0.51717E+03 -0.49668E+03  0.00000E+00  0.00000E+00  0.12576E+02  0.53000E+00  0.21196E+00     37  0.00000E+00      0.000
